participantId,intervalStartTime,intervalEndTime,currentLocations
0,2022-03-01 17:20:00+00:00,2022-03-01 19:20:00+00:00,"['POINT (39.59877121487088 1259.7742218297456)', 'POINT (86.23851138699402 1660.34574923512)', 'POINT (505.58508537735116 1654.7149746038579)', 'POINT (597.7595000240226 1929.7697997559812)', 'POINT (644.44605119478 2345.514370696509)', 'POINT (639.9003455547603 2764.8896412256245)', 'POINT (640.400544461171 3184.4730886763823)', 'POINT (614.7664075196321 3602.923687946077)', 'POINT (627.4729462122729 4022.5215815506513)', 'POINT (572.5898355090661 4437.554486086432)', 'POINT (402.3841516334518 4685.386932882215)', 'POINT (0.9118243875456074 4734.418071164338)', 'POINT (-235.32926004554454 4937.187227244533)', 'POINT (-294.9603248722063 5295.664306567347)', 'POINT (-632.6932995800292 5384.263651651007)', 'POINT (-873.0371390813166 5601.13875073769)', 'POINT (-1107.8793385025272 5800.92210640212)', 'POINT (-1527.683245434192 5798.941279857243)', 'POINT (-1945.924270374919 5827.586950277603)', 'POINT (-2364.9768200901335 5844.161732672215)', 'POINT (-2784.223072998915 5863.829602238505)', 'POINT (-3035.7655000230166 6064.535583231425)', 'POINT (-3003.456663697912 6482.576144269431)', 'POINT (-2684.1541591560535 6644.894872431404)', 'POINT (-2724.6277665310454 6866.2081834436985)']"
0,2022-03-01 06:20:00+00:00,2022-03-01 08:20:00+00:00,"['POINT (-2721.353174109782 6862.8612194660855)', 'POINT (-2689.2751950121046 6644.642793057856)', 'POINT (-3004.156323948882 6477.496869933195)', 'POINT (-3035.319606739233 6059.427772405935)', 'POINT (-2779.0958479244337 5863.818865146683)', 'POINT (-2359.8881477852024 5843.534065226375)', 'POINT (-1940.798241167795 5827.475699132689)', 'POINT (-1522.5603224636693 5798.7310122001645)', 'POINT (-1102.7532500205364 5800.813620807104)', 'POINT (-872.579529911561 5596.031976207982)', 'POINT (-627.5708497305033 5384.042157207257)', 'POINT (-289.83626725571037 5295.8448219194925)', 'POINT (-235.16616621642802 4932.062585534868)', 'POINT (5.9993770395663475 4733.781392075281)', 'POINT (402.2511364124908 4680.261422253944)', 'POINT (572.5451577282297 4432.427444430132)', 'POINT (627.7887403783513 4017.4040795922538)', 'POINT (614.646381225703 3597.7978567024343)', 'POINT (640.0731040225594 3179.3563186982915)', 'POINT (639.8384330945518 2759.762778725342)', 'POINT (644.1020260359973 2340.3986890274005)', 'POINT (597.7466825628447 1924.642579460127)', 'POINT (500.49922156735823 1655.3650065690028)', 'POINT (81.11975478427682 1660.0509898558823)', 'POINT (36.324178793607146 1263.1211858073589)']"
1,2022-03-01 07:35:00+00:00,2022-03-01 08:10:00+00:00,"['POINT (-1531.1328847088653 5597.244219744858)', 'POINT (-1863.2835168710399 5825.793382962175)', 'POINT (-2282.976715608316 5833.73823279104)', 'POINT (-2701.5776656237763 5862.362168388515)', 'POINT (-3028.576903262201 5982.18854260449)', 'POINT (-3013.4450776670333 6400.532879730751)', 'POINT (-2630.435534673204 6461.469488311786)', 'POINT (-2612.2843755981316 6482.785001276145)']"
1,2022-03-01 16:50:00+00:00,2022-03-01 17:25:00+00:00,"['POINT (-2616.4800271638437 6497.734086456471)', 'POINT (-2894.491262142772 6456.916438552959)', 'POINT (-3029.4281174196335 6137.246254418279)', 'POINT (-2857.3544167826544 5863.98274900735)', 'POINT (-2437.558272694354 5853.114365548048)', 'POINT (-2019.0516278889095 5827.3881305784425)', 'POINT (-1670.5827961985 5715.02925956164)', 'POINT (-1526.9372331431534 5582.2951345645315)']"
2,2022-03-01 06:00:00+00:00,2022-03-01 07:10:00+00:00,"['POINT (-1352.9677515710423 2095.779439981468)', 'POINT (-1640.5060632669158 1827.2322605665265)', 'POINT (-1465.5427387857774 1569.4044515907776)', 'POINT (-1049.6293260187585 1604.144828574189)', 'POINT (-630.424336053804 1616.7825564861153)', 'POINT (-215.912171185645 1670.5131512845362)', 'POINT (203.59581375200796 1664.4625490606652)', 'POINT (621.1155976841596 1633.8434754606128)', 'POINT (602.0670325956467 2047.1419894939427)', 'POINT (651.0856041052489 2462.7734770901093)', 'POINT (640.7476891147985 2882.3547902077753)', 'POINT (637.9608784634679 3301.7271865257653)', 'POINT (618.1813495470618 3720.3474107213124)', 'POINT (607.4013840500971 4137.9727367215355)', 'POINT (440.77629266280564 4341.806688262852)']"
2,2022-03-01 15:40:00+00:00,2022-03-01 16:50:00+00:00,"['POINT (448.79913987469365 4328.78174286464)', 'POINT (628.4503747052252 3944.7661277147968)', 'POINT (616.3714472739281 3525.1119388988805)', 'POINT (635.9028662620891 3106.7462062534655)', 'POINT (642.9127974284739 2687.0974728109754)', 'POINT (641.3441825712395 2267.7174124869484)', 'POINT (599.0070150609948 1851.9684189960558)', 'POINT (428.2452244537565 1663.1237494699178)', 'POINT (8.409198254025952 1659.486888712534)', 'POINT (-410.0855840019713 1658.0407016330537)', 'POINT (-825.1377584672202 1601.2714756468629)', 'POINT (-1242.1576865786355 1576.4251731512898)', 'POINT (-1644.5074021599962 1602.680299895143)', 'POINT (-1592.9992097194245 2012.1951273213172)', 'POINT (-1360.9905987829304 2108.804385379679)']"
3,2022-03-01 06:25:00+00:00,2022-03-01 07:25:00+00:00,"['POINT (-1550.046162256439 5606.726708601213)', 'POINT (-1517.7284294182639 5798.532689712055)', 'POINT (-1097.9183712943125 5800.711298208247)', 'POINT (-872.1479172213883 5591.215314220961)', 'POINT (-622.7394029283979 5383.833245718933)', 'POINT (-285.0033040228328 5296.01508231178)', 'POINT (-235.01233764176638 4927.229071390773)', 'POINT (10.797909131281251 4733.180882311563)', 'POINT (402.1256776998003 4675.4270885539445)', 'POINT (621.8758904185518 4478.402916688799)', 'POINT (1033.2456614634102 4531.8739688640835)', 'POINT (1336.293379360471 4638.003376175308)', 'POINT (1367.9266119846243 4855.283897597215)']"
3,2022-03-01 16:45:00+00:00,2022-03-01 17:45:00+00:00,"['POINT (1376.3976505541523 4861.346259046002)', 'POINT (1280.2240015585762 4526.295865116573)', 'POINT (862.2517495901903 4523.637180842792)', 'POINT (449.8121901257639 4476.307115256333)', 'POINT (257.433114226706 4708.492050584735)', 'POINT (-160.73704912880848 4739.285233388931)', 'POINT (-247.86886331000923 5098.3974868473315)', 'POINT (-456.94721144179107 5296.067242873597)', 'POINT (-701.1792747456595 5485.9700881120325)', 'POINT (-886.5763189279703 5762.486332916547)', 'POINT (-1269.9667725189581 5804.422369466199)', 'POINT (-1689.7520298136708 5803.160086065105)', 'POINT (-1558.517200825967 5600.664347152427)']"
4,2022-03-01 07:15:00+00:00,2022-03-01 07:20:00+00:00,"['POINT (975.8759448586605 4561.888356150041)', 'POINT (917.2965590639861 4305.6452297830165)']"
4,2022-03-01 16:00:00+00:00,2022-03-01 16:05:00+00:00,"['POINT (916.9315425022253 4292.958506850986)', 'POINT (976.2409614204214 4574.575079082071)']"
