participantId,intervalStartTime,intervalEndTime,currentLocations
0,2022-03-01 16:50:00+00:00,2022-03-01 16:55:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (36.324178793607146 1263.1211858073589)']"
0,2022-03-01 08:50:00+00:00,2022-03-01 08:55:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (36.324178793607146 1263.1211858073589)']"
1,2022-03-01 23:15:00+00:00,2022-03-01 23:20:00+00:00,"['POINT (-4002.9335312988205 6671.996711133368)', 'POINT (-3791.92419982348 6352.972987401749)']"
1,2022-03-01 11:35:00+00:00,2022-03-01 11:45:00+00:00,"['POINT (-3136.1278958093117 6671.917461867151)', 'POINT (-2749.5557431284524 6642.233746983073)', 'POINT (-2612.2843755981316 6482.785001276145)']"
2,2022-03-01 11:40:00+00:00,2022-03-01 11:45:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (440.77629266280564 4341.806688262852)']"
3,2022-03-01 08:15:00+00:00,2022-03-01 08:25:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1341.6102061350086 4482.37795642228)', 'POINT (1367.9266119846243 4855.283897597215)']"
3,2022-03-01 16:30:00+00:00,2022-03-01 16:40:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1341.6102061350086 4482.37795642228)', 'POINT (1367.9266119846243 4855.283897597215)']"
4,2022-03-01 08:45:00+00:00,2022-03-01 08:55:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (958.92712940502 4425.060536987922)', 'POINT (917.2965590639861 4305.6452297830165)']"
5,2022-03-01 10:25:00+00:00,2022-03-01 10:30:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (216.88717701053875 1095.693585701924)']"
6,2022-03-01 21:05:00+00:00,2022-03-01 21:20:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1350.3911517156644 3643.7508305016736)', 'POINT (1441.908973794611 3293.3450424001876)', 'POINT (1795.1297501295278 3238.4053705049837)']"
7,2022-03-01 12:55:00+00:00,2022-03-01 13:10:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-397.09115213460416 1661.086640136248)', 'POINT (-883.650163839613 1563.1820416780627)']"
7,2022-03-01 18:55:00+00:00,2022-03-01 19:10:00+00:00,"['POINT (-820.9290279479601 4497.243308530136)', 'POINT (-485.3628417410773 4408.495089625616)', 'POINT (-452.16093775275687 3989.9925773844875)', 'POINT (-224.2745365297694 3885.2592446655667)']"
8,2022-03-01 12:15:00+00:00,2022-03-01 12:20:00+00:00,"['POINT (631.5130723031391 2001.4772026036535)', 'POINT (834.9166212134627 2172.3595144724727)']"
9,2022-03-01 16:30:00+00:00,2022-03-01 16:35:00+00:00,"['POINT (631.5130723031391 2001.4772026036535)', 'POINT (821.0825013542806 2154.462745367603)']"
9,2022-03-01 08:15:00+00:00,2022-03-01 08:20:00+00:00,"['POINT (631.5130723031391 2001.4772026036535)', 'POINT (821.0825013542806 2154.462745367603)']"
10,2022-03-01 20:40:00+00:00,2022-03-01 20:50:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (930.4149642879935 4060.0495537933452)', 'POINT (963.0688553989378 3977.970071818367)']"
10,2022-03-01 13:35:00+00:00,2022-03-01 13:40:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (229.7696775681375 1082.0137772610378)']"
11,2022-03-01 12:05:00+00:00,2022-03-01 12:10:00+00:00,"['POINT (-1771.452216635636 4343.580176583138)', 'POINT (-1769.6225008364377 4568.788190084154)']"
12,2022-03-01 18:00:00+00:00,2022-03-01 18:05:00+00:00,"['POINT (-508.12691044634744 6307.584421447018)', 'POINT (-497.3677634959754 6363.886889857202)']"
12,2022-03-01 08:55:00+00:00,2022-03-01 09:00:00+00:00,"['POINT (-4002.9335312988205 6671.996711133368)', 'POINT (-3710.6497239820555 6560.460342259548)']"
13,2022-03-01 12:45:00+00:00,2022-03-01 13:00:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (604.4333856450602 4151.421139320504)', 'POINT (618.6701169170694 3734.1107552804774)', 'POINT (656.2536542797567 3601.6114125171284)']"
